Energy(eV) DOS(1/eV/m^3) DOS_Norm(CodeUnits)
0 0 0
0.001 2.83261e+25 0.00370569
0.002 4.00592e+25 0.00524063
0.003 4.90623e+25 0.00641844
0.004 5.66522e+25 0.00741137
0.005 6.33391e+25 0.00828617
0.006 6.93845e+25 0.00907704
0.007 7.49438e+25 0.00980433
0.008 8.01183e+25 0.0104813
0.009 8.49783e+25 0.0111171
0.01 8.9575e+25 0.0117184
0.011 9.39471e+25 0.0122904
0.012 9.81245e+25 0.0128369
0.013 1.02131e+26 0.013361
0.014 1.05987e+26 0.0138654
0.015 1.09707e+26 0.0143521
0.016 1.13304e+26 0.0148227
0.017 1.16792e+26 0.0152789
0.018 1.20178e+26 0.0157219
0.019 1.23471e+26 0.0161527
0.02 1.26678e+26 0.0165723
0.021 1.29807e+26 0.0169816
0.022 1.32861e+26 0.0173812
0.023 1.35847e+26 0.0177719
0.024 1.38769e+26 0.0181541
0.025 1.41631e+26 0.0185284
0.026 1.44435e+26 0.0188954
0.027 1.47187e+26 0.0192553
0.028 1.49888e+26 0.0196087
0.029 1.52541e+26 0.0199557
0.03 1.55149e+26 0.0202969
0.031 1.57713e+26 0.0206324
0.032 1.60237e+26 0.0209625
0.033 1.62721e+26 0.0212876
0.034 1.65168e+26 0.0216077
0.035 1.6758e+26 0.0219231
0.036 1.69957e+26 0.0222341
0.037 1.72301e+26 0.0225408
0.038 1.74614e+26 0.0228434
0.039 1.76897e+26 0.023142
0.04 1.7915e+26 0.0234368
0.041 1.81376e+26 0.023728
0.042 1.83574e+26 0.0240156
0.043 1.85747e+26 0.0242998
0.044 1.87894e+26 0.0245807
0.045 1.90017e+26 0.0248585
0.046 1.92117e+26 0.0251332
0.047 1.94194e+26 0.0254049
0.048 1.96249e+26 0.0256738
0.049 1.98283e+26 0.0259398
0.05 2.00296e+26 0.0262032
0.051 2.02289e+26 0.0264639
0.052 2.04262e+26 0.0267221
0.053 2.06217e+26 0.0269778
0.054 2.08154e+26 0.0272311
0.055 2.10072e+26 0.0274821
0.056 2.11973e+26 0.0277308
0.057 2.13857e+26 0.0279773
0.058 2.15725e+26 0.0282217
0.059 2.17577e+26 0.0284639
0.06 2.19413e+26 0.0287041
0.061 2.21234e+26 0.0289423
0.062 2.2304e+26 0.0291786
0.063 2.24832e+26 0.029413
0.064 2.26609e+26 0.0296455
0.065 2.28372e+26 0.0298762
0.066 2.30122e+26 0.0301051
0.067 2.31859e+26 0.0303324
0.068 2.33583e+26 0.0305579
0.069 2.35294e+26 0.0307817
0.07 2.36993e+26 0.031004
0.071 2.3868e+26 0.0312247
0.072 2.40355e+26 0.0314438
0.073 2.42018e+26 0.0316614
0.074 2.4367e+26 0.0318775
0.075 2.45311e+26 0.0320922
0.076 2.46941e+26 0.0323054
0.077 2.48561e+26 0.0325173
0.078 2.50169e+26 0.0327277
0.079 2.51768e+26 0.0329369
0.08 2.53356e+26 0.0331447
0.081 2.54935e+26 0.0333512
0.082 2.56504e+26 0.0335564
0.083 2.58063e+26 0.0337604
0.084 2.59613e+26 0.0339632
0.085 2.61154e+26 0.0341647
0.086 2.62686e+26 0.0343651
0.087 2.64208e+26 0.0345643
0.088 2.65722e+26 0.0347624
0.089 2.67228e+26 0.0349594
0.09 2.68725e+26 0.0351552
0.091 2.70214e+26 0.03535
0.092 2.71695e+26 0.0355437
0.093 2.73167e+26 0.0357364
0.094 2.74632e+26 0.035928
0.095 2.76089e+26 0.0361186
0.096 2.77538e+26 0.0363082
0.097 2.7898e+26 0.0364968
0.098 2.80414e+26 0.0366844
0.099 2.81841e+26 0.0368711
0.1 2.83261e+26 0.0370569
0.101 2.84674e+26 0.0372417
0.102 2.8608e+26 0.0374256
0.103 2.87479e+26 0.0376086
0.104 2.88871e+26 0.0377907
0.105 2.90256e+26 0.037972
0.106 2.91635e+26 0.0381524
0.107 2.93008e+26 0.0383319
0.108 2.94374e+26 0.0385106
0.109 2.95733e+26 0.0386885
0.11 2.97087e+26 0.0388656
0.111 2.98434e+26 0.0390418
0.112 2.99775e+26 0.0392173
0.113 3.01111e+26 0.039392
0.114 3.0244e+26 0.0395659
0.115 3.03764e+26 0.0397391
0.116 3.05082e+26 0.0399115
0.117 3.06394e+26 0.0400831
0.118 3.077e+26 0.0402541
0.119 3.09001e+26 0.0404243
0.12 3.10297e+26 0.0405938
0.121 3.11587e+26 0.0407626
0.122 3.12872e+26 0.0409307
0.123 3.14152e+26 0.0410981
0.124 3.15426e+26 0.0412648
0.125 3.16696e+26 0.0414308
0.126 3.1796e+26 0.0415962
0.127 3.19219e+26 0.041761
0.128 3.20473e+26 0.0419251
0.129 3.21723e+26 0.0420885
0.13 3.22967e+26 0.0422513
0.131 3.24207e+26 0.0424135
0.132 3.25442e+26 0.0425751
0.133 3.26673e+26 0.0427361
0.134 3.27898e+26 0.0428964
0.135 3.2912e+26 0.0430562
0.136 3.30336e+26 0.0432154
0.137 3.31549e+26 0.043374
0.138 3.32756e+26 0.043532
0.139 3.3396e+26 0.0436894
0.14 3.35159e+26 0.0438463
0.141 3.36354e+26 0.0440026
0.142 3.37545e+26 0.0441584
0.143 3.38731e+26 0.0443136
0.144 3.39913e+26 0.0444682
0.145 3.41092e+26 0.0446224
0.146 3.42266e+26 0.044776
0.147 3.43436e+26 0.0449291
0.148 3.44602e+26 0.0450816
0.149 3.45764e+26 0.0452337
0.15 3.46923e+26 0.0453852
0.151 3.48077e+26 0.0455362
0.152 3.49228e+26 0.0456868
0.153 3.50375e+26 0.0458368
0.154 3.51518e+26 0.0459864
0.155 3.52657e+26 0.0461354
